09:52:18:313 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:313 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:313 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:313 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:313 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:313 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:313 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:313 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:313 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:313 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:313 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:313 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:313 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:314 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
